,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
M,0.02554152823920266,0.022538205980066447,0.023308970099667776,0.021209302325581394,0.022352159468438538,0.021740863787375414,0.022059800664451828,0.021794019933554818,0.021661129568106313,0.023122923588039867,0.022485049833887043,0.02155481727574751,0.020890365448504984,0.0239734219269103,0.025196013289036544,0.0,0.023654485049833886,0.024637873754152825,0.02033222591362126,0.021794019933554818,0.022405315614617942,0.021953488372093023,0.021953488372093023,0.0212890365448505,0.022511627906976743,0.021767441860465118,0.021421926910299004,0.020970099667774085,0.02057142857142857,0.022059800664451828,0.022219269102990033
N,0.03880398671096345,0.0400531561461794,0.04231229235880399,0.0425514950166113,0.044172757475083056,0.0399734219269103,0.04167441860465116,0.0400797342192691,0.04241860465116279,0.04340199335548173,0.04167441860465116,0.04305647840531562,0.045129568106312294,0.04377408637873754,0.04055813953488372,0.0,0.04140863787375415,0.03821926910299003,0.04047840531561462,0.03917607973421927,0.04090365448504983,0.04194019933554817,0.04098338870431894,0.04095681063122924,0.04116943521594684,0.04172757475083057,0.0424983388704319,0.04140863787375415,0.042578073089701,0.03920265780730897,0.04023920265780731
P,0.05092358803986711,0.04837209302325581,0.04877076411960133,0.05150830564784053,0.04855813953488372,0.05092358803986711,0.05020598006644518,0.05095016611295681,0.0507109634551495,0.04781395348837209,0.05081727574750831,0.053315614617940196,0.05110963455149502,0.05028571428571429,0.05041860465116279,0.0,0.051588039867109636,0.045102990033222594,0.046299003322259134,0.044837209302325584,0.04688372093023256,0.04768106312292359,0.04858471760797342,0.04717607973421927,0.04762790697674418,0.04906312292358804,0.04728239202657807,0.04757475083056478,0.04927574750830565,0.04927574750830565,0.04845182724252492
Q,0.038352159468438535,0.036890365448504985,0.036491694352159466,0.03872425249169435,0.036916943521594685,0.03960132890365448,0.036332225913621265,0.038591362126245844,0.03973421926910299,0.03784717607973422,0.03891029900332226,0.03872425249169435,0.03904318936877076,0.03954817275747508,0.04201993355481728,0.0,0.03914950166112957,0.037448504983388704,0.03928239202657807,0.037501661129568105,0.037528239202657805,0.0373687707641196,0.036332225913621265,0.036996677740863786,0.038059800664451825,0.03627906976744186,0.03569435215946844,0.037023255813953486,0.036757475083056476,0.03869767441860465,0.036093023255813955
R,0.053980066445182724,0.05501661129568106,0.05496345514950166,0.0559734219269103,0.052677740863787376,0.053554817275747506,0.05748837209302326,0.05690365448504983,0.0561594684385382,0.05488372093023256,0.060943521594684386,0.053209302325581395,0.05562790697674418,0.05719601328903654,0.06304318936877076,0.0,0.0559468438538206,0.052943521594684385,0.05416611295681063,0.052385382059800666,0.053740863787375415,0.05227906976744186,0.052730897009966776,0.05411295681063123,0.053262458471760796,0.05177408637873754,0.05469767441860465,0.0559734219269103,0.053740863787375415,0.05174750830564784,0.05134883720930233
S,0.08746843853820598,0.0880265780730897,0.08940863787375415,0.08677740863787375,0.08869102990033223,0.08829235880398671,0.08983388704318937,0.08688372093023256,0.08935548172757475,0.0879202657807309,0.08467774086378738,0.09222591362126246,0.09137541528239203,0.08590033222591362,0.08603322259136213,0.0,0.07534883720930233,0.07917607973421927,0.08215282392026578,0.0828172757475083,0.08085049833887044,0.08188704318936878,0.08598006644518272,0.08677740863787375,0.08305647840531562,0.08199335548172758,0.0852358803986711,0.08603322259136213,0.08366777408637874,0.08441196013289036,0.08810631229235881
T,0.051295681063122926,0.05124252491694352,0.05015282392026578,0.052465116279069766,0.04959468438538206,0.05097674418604651,0.052305647840531565,0.05201328903654485,0.05044518272425249,0.053156146179401995,0.05110963455149502,0.05110963455149502,0.051029900332225916,0.053209302325581395,0.05039202657807309,0.0,0.05020598006644518,0.04757475083056478,0.04842524916943522,0.05041860465116279,0.04853156146179402,0.04906312292358804,0.04746843853820598,0.04898338870431894,0.04845182724252492,0.04871760797342193,0.04980730897009967,0.04930232558139535,0.04903654485049834,0.05047176079734219,0.04900996677740864
V,0.06976744186046512,0.07085714285714285,0.06849169435215947,0.06870431893687708,0.07048504983388704,0.07122923588039867,0.07136212624584717,0.07218604651162791,0.0691029900332226,0.07048504983388704,0.07165448504983389,0.06756146179401994,0.06530232558139534,0.07072425249169435,0.07295681063122923,0.0,0.06524916943521594,0.0694485049833887,0.06841196013289036,0.06897009966777409,0.0692890365448505,0.07051162790697675,0.06830564784053156,0.0694485049833887,0.06740199335548172,0.06612624584717608,0.06702990033222592,0.07037873754152824,0.06873089700996678,0.06859800664451828,0.06793355481727575
W,0.009966777408637873,0.010498338870431894,0.011162790697674419,0.010073089700996678,0.010604651162790697,0.010019933554817275,0.010232558139534883,0.010897009966777409,0.010897009966777409,0.011375415282392026,0.011906976744186046,0.01225249169435216,0.011189368770764119,0.012172757475083057,0.01413953488372093,0.0,0.012225913621262458,0.011827242524916943,0.011295681063122924,0.011189368770764119,0.011641196013289036,0.012119601328903655,0.011641196013289036,0.010817275747508306,0.011162790697674419,0.011189368770764119,0.010578073089700997,0.011348837209302326,0.011003322259136212,0.009993355481727575,0.010870431893687707
Y,0.026445182724252492,0.026471760797342193,0.02554152823920266,0.025169435215946844,0.02554152823920266,0.025488372093023254,0.02562126245847176,0.026870431893687707,0.025382059800664453,0.026498338870431893,0.027295681063122922,0.027003322259136212,0.02503654485049834,0.02718936877076412,0.02532890365448505,0.0,0.026285714285714287,0.026498338870431893,0.024664451827242525,0.023654485049833886,0.027003322259136212,0.026764119601328903,0.02527574750830565,0.02479734219269103,0.02508970099667774,0.026152823920265782,0.02421262458471761,0.02530232558139535,0.02421262458471761,0.02583388704318937,0.024956810631229235
-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
